01org_virtual-storage-manager,PhythonDjango
0xd34df00d_leechcraft,ObjCCoreData
1337_pop,NoORM
18F_C2,NoORM
18F_openFEC,PhythonSQLAlchemy
18F_rdbms-subsetter,PhythonSQLAlchemy
42mate_towel,NoORM
4ian_GD,.NETEntityFramework
52North_SensorWebClient,JavaHibernate
52North_SES,NoORM
52North_WPS,NoORM
593141477_bashu-onlinejudge,NoORM
7korobi_giji_rails,NoORM
9miao_CrossApp,ObjCCoreData
aaberg_sql2o,JavaHibernate
aackerman_lebowski-api,NoORM
abg_dbsake,NoORM
acanda_eclipse-pmd,NoORM
Accla_d4m_api_java,NoORM
activescott_lessmsi,.NETEntityFramework
ActsAsParanoid_acts_as_paranoid,NoORM
adamgreig_sheepdog,NoORM
adamnicholson_flatbase,NoORM
adaptive-learning_proso-apps,PhythonDjango
adaptivecomputing_torque,NoORM
adhearsion_adhearsion,NoORM
adjust_pgbundle,NoORM
adminweb_BrZend,NoORM
Adobe-Consulting-Services_acs-aem-commons,NoORM
adobo_agendav,PhpDoctrine
adolby_Kryvos,NoORM
aegoroff_logviewer,.NETEntityFramework
aerogear_aerogear-simplepush-server,NoORM
aerogear_aerogear-unifiedpush-server,JavaHibernate
affiliatewp_AffiliateWP,NoORM
agateau_yokadi,PhythonSQLAlchemy
agavi_agavi,PhpPropel
AgelxNash_DocLister,NoORM
agentgt_jirm,NoORM
ageweke_flex_columns,NoORM
agile-alliance-brazil_submissions,NoORM
AgileVentures_WebsiteOne,NoORM
aintshy_hub,NoORM
aio-libs_aiomysql,PhythonSQLAlchemy
aircrack-ng_aircrack-ng,c++litesql
airlift_airlift,NoORM
airlift_airship,NoORM
akeeba_awf,NoORM
akeeba_fof,NoORM
akkadotnet_akka.net,.NETEntityFramework
akrennmair_newsbeuter,c++litesql
akumuli_Akumuli,c++litesql
alchemy-fr_Phraseanet,PhpDoctrine
AlchemyCMS_alchemy_cms,NoORM
AlessandroMinoccheri_cakephp-twig-integration,NoORM
AlexDenisov_iActiveRecord,ObjCCoreData
alexjpaz_paz-fit,PhythonDjango
alibaba_cobarclient,NoORM
alibaba_RocketMQ,NoORM
AlienEngineer_VirtualObjects,.NETDapper
alimanfoo_petl,PhythonSQLAlchemy
alleyinteractive_es-wp-query,NoORM
alleyinteractive_SearchPress,NoORM
alliedmodders_amxmodx,.NETEntityFramework
alliedmodders_sourcemod,.NETEntityFramework
alliedmodders_sourcepawn,NoORM
alta189_SimpleSave,NoORM
amcat_amcat,PhythonDjango
amjith_pgcli,NoORM
amphp_mysql,NoORM
an0_Letterpress,NoORM
Anahkiasen_autopergamene,NoORM
anandology_broadgauge,NoORM
Anaphore_bach,PhpDoctrine
andialbrecht_sqlparse,NoORM
andraskende_cakephp-shopping-cart,NoORM
AndreasHeger_CGATReport,PhythonSQLAlchemy
andreitognolo_raidenjpa,NoORM
andreluiznsilva_hibernate-conventions,JavaHibernate
andresriancho_django-moth,PhythonDjango
andresriancho_w3af,PhythonDjango
andresriancho_w3af-module,PhythonDjango
AndrewAnnex_SpiceyPy,NoORM
andsel_moquette,NoORM
