Repo,CompoundAttribute,AdjacencyList,GodTable,ValuesInColDef,MetadataAsData,MulticolumnAttribute,CloneTables,DuplicateColumnNames,IndexShotgun4,Total Smells
01org_virtual-storage-manager.txt,0,0,0,0,0,0,0,0,0,0
0xd34df00d_leechcraft.txt,2,0,3,0,0,0,0,3,0,8
1337_pop.txt,0,0,0,0,0,0,0,0,0,0
18F_C2.txt,0,0,0,0,0,0,0,0,1,1
18F_openFEC.txt,0,0,96,0,0,52,61,33,1,243
18F_rdbms-subsetter.txt,0,0,0,0,0,0,0,0,3,3
42mate_towel.txt,0,0,0,0,0,0,0,1,1,2
4ian_GD.txt,0,0,0,0,0,0,0,0,1,1
52North_SensorWebClient.txt,0,0,0,0,0,0,0,0,0,0
52North_SES.txt,0,0,0,0,0,0,0,0,0,0
52North_WPS.txt,0,0,0,0,0,0,0,0,0,0
593141477_bashu-onlinejudge.txt,2,0,4,0,0,0,0,5,2,13
7korobi_giji_rails.txt,0,0,0,0,0,0,0,0,0,0
9miao_CrossApp.txt,0,0,2,0,0,2,29,5,10,48
aaberg_sql2o.txt,0,0,0,0,0,6,8,5,1,20
aackerman_lebowski-api.txt,0,0,0,0,0,0,0,0,1,1
abg_dbsake.txt,0,0,3,0,1,2,0,15,1,22
acanda_eclipse-pmd.txt,0,0,0,0,0,0,0,0,0,0
Accla_d4m_api_java.txt,0,0,0,0,0,0,0,0,1,1
activescott_lessmsi.txt,0,0,0,0,0,0,0,0,0,0
ActsAsParanoid_acts_as_paranoid.txt,0,0,0,0,0,0,0,0,0,0
adamgreig_sheepdog.txt,0,0,0,0,0,0,0,0,3,3
adamnicholson_flatbase.txt,0,0,0,0,0,0,0,0,0,0
adaptive-learning_proso-apps.txt,0,0,0,0,0,0,0,0,0,0
adaptivecomputing_torque.txt,0,0,0,0,0,0,0,0,0,0
adhearsion_adhearsion.txt,0,0,0,0,0,0,0,0,1,1
adjust_pgbundle.txt,0,0,0,0,0,0,0,0,0,0
adminweb_BrZend.txt,0,0,0,0,0,0,0,0,0,0
Adobe-Consulting-Services_acs-aem-commons.txt,0,0,0,0,0,0,0,0,0,0
adobo_agendav.txt,0,0,1,0,0,0,0,0,6,7
adolby_Kryvos.txt,0,0,0,0,0,0,0,0,0,0
aegoroff_logviewer.txt,0,0,0,0,0,0,0,0,1,1
aerogear_aerogear-simplepush-server.txt,0,0,0,0,0,0,0,0,0,0
aerogear_aerogear-unifiedpush-server.txt,0,0,1,0,1,0,0,1,1,4
