repo,selectStmtCount,createStmtCount,insertStmtCount,updateStmtCount,createIndexStmtCount,total statements
01org_virtual-storage-manager.sql,9,0,0,0,0,9
0xd34df00d_leechcraft.sql,58,31,0,10,1,100
1337_pop.sql,1,0,0,0,0,1
18F_C2.sql,1,1,0,18,0,20
18F_openFEC.sql,12,209,46,0,36,303
18F_rdbms-subsetter.sql,5,6,5,0,0,16
42mate_towel.sql,6,3,0,0,0,9
4ian_GD.sql,2,1,1,0,0,4
52North_SensorWebClient.sql,1,0,0,0,0,1
52North_SES.sql,2,0,0,0,0,2
52North_WPS.sql,2,0,1,1,0,4
593141477_bashu-onlinejudge.sql,62,19,6,21,1,109
7korobi_giji_rails.sql,8,0,0,0,1,9
9miao_CrossApp.sql,100,83,2,3,9,197
aaberg_sql2o.sql,49,41,1,0,0,91
aackerman_lebowski-api.sql,1,5,0,0,0,6
abg_dbsake.sql,0,27,0,0,0,27
acanda_eclipse-pmd.sql,1,0,0,0,0,1
Accla_d4m_api_java.sql,0,2,0,0,0,2
activescott_lessmsi.sql,5,0,0,0,0,5
ActsAsParanoid_acts_as_paranoid.sql,1,0,0,0,0,1
adamgreig_sheepdog.sql,8,4,0,0,0,12
adamnicholson_flatbase.sql,5,0,0,1,0,6
adaptive-learning_proso-apps.sql,1,0,0,0,0,1
adaptivecomputing_torque.sql,0,0,0,0,0,0
adhearsion_adhearsion.sql,0,2,2,0,0,4
adjust_pgbundle.sql,6,0,0,0,0,6
adminweb_BrZend.sql,3,0,0,0,0,3
Adobe-Consulting-Services_acs-aem-commons.sql,4,0,0,0,0,4
adobo_agendav.sql,1,2,0,1,2,6
adolby_Kryvos.sql,4,0,1,0,0,5
aegoroff_logviewer.sql,9,5,0,0,0,14
aerogear_aerogear-simplepush-server.sql,2,0,0,0,0,2
aerogear_aerogear-unifiedpush-server.sql,25,15,0,1,0,41
affiliatewp_AffiliateWP.sql,27,7,0,0,0,34
agateau_yokadi.sql,4,5,0,2,0,11
agavi_agavi.sql,3,0,0,0,0,3
AgelxNash_DocLister.sql,48,0,0,0,0,48
agentgt_jirm.sql,4,5,0,3,0,12
ageweke_flex_columns.sql,1,0,0,0,0,1
agile-alliance-brazil_submissions.sql,0,0,0,2,0,2
AgileVentures_WebsiteOne.sql,1,0,0,1,0,2
aintshy_hub.sql,21,0,0,6,0,27
aio-libs_aiomysql.sql,45,32,16,1,0,94
aircrack-ng_aircrack-ng.sql,28,9,5,5,3,50
airlift_airlift.sql,1,1,0,0,0,2
airlift_airship.sql,1,0,0,0,0,1
akeeba_awf.sql,20,46,0,0,0,66
akeeba_fof.sql,1,22,0,0,0,23
akkadotnet_akka.net.sql,1,6,0,0,0,7
akrennmair_newsbeuter.sql,8,0,0,5,0,13
akumuli_Akumuli.sql,3,0,0,0,0,3
alchemy-fr_Phraseanet.sql,70,115,1,53,13,252
AlchemyCMS_alchemy_cms.sql,1,0,0,0,0,1
AlessandroMinoccheri_cakephp-twig-integration.sql,18,28,0,3,6,55
AlexDenisov_iActiveRecord.sql,4,0,0,0,0,4
alexjpaz_paz-fit.sql,6,2,0,0,0,8
alibaba_cobarclient.sql,11,5,0,0,0,16
alibaba_RocketMQ.sql,0,0,1,0,0,1
AlienEngineer_VirtualObjects.sql,8,0,0,0,0,8
alimanfoo_petl.sql,0,2,1,0,0,3
alleyinteractive_es-wp-query.sql,1,0,0,0,0,1
alleyinteractive_SearchPress.sql,2,0,0,0,0,2
alliedmodders_amxmodx.sql,74,46,6,0,9,135
alliedmodders_sourcemod.sql,61,69,6,8,8,152
alliedmodders_sourcepawn.sql,3,7,0,0,0,10
alta189_SimpleSave.sql,1,1,0,0,0,2
amcat_amcat.sql,4,0,0,1,0,5
amjith_pgcli.sql,22,14,3,1,0,40
amphp_mysql.sql,17,15,9,0,0,41
an0_Letterpress.sql,6,1,1,0,0,8
Anahkiasen_autopergamene.sql,0,2,0,0,1,3
anandology_broadgauge.sql,2,6,0,0,2,10
Anaphore_bach.sql,0,0,0,2,0,2
andialbrecht_sqlparse.sql,30,3,1,0,0,34
andraskende_cakephp-shopping-cart.sql,20,36,0,3,6,65
AndreasHeger_CGATReport.sql,16,0,0,0,0,16
andreitognolo_raidenjpa.sql,36,0,0,0,0,36
andreluiznsilva_hibernate-conventions.sql,0,2,0,0,0,2
andresriancho_django-moth.sql,2,0,0,0,0,2
andresriancho_w3af-module.sql,169,6,4,3,0,182
andresriancho_w3af.sql,168,6,4,3,0,181
AndrewAnnex_SpiceyPy.sql,4,0,0,0,0,4
andsel_moquette.sql,2,1,0,0,0,3
andygrunwald_Gerrie.sql,0,19,0,0,0,19
