repo,selectStmtCount,createStmtCount,insertStmtCount,updateStmtCount,createIndexStmtCount,total statements
anitagraser_TimeManager.sql,0,17,0,0,3,20
aniversarioperu_django-manolo.sql,1,0,0,0,0,1
ankane_groupdate.sql,0,2,0,0,0,2
anorgan_QuTee.sql,2,1,0,0,0,3
anthavio_phanbedder.sql,19,19,7,13,3,61
anthonator_paranoia_uniqueness_validator.sql,0,1,0,0,0,1
antoniomaria_gazpachoquest.sql,33,0,0,1,0,34
antonioribeiro_sqli.sql,5,0,0,0,0,5
antonvw_wxExtension.sql,2,1,0,0,0,3
AOEpeople_languagevisibility.sql,0,6,0,0,0,6
apache_accumulo.sql,0,1,0,0,0,1
apache_drill.sql,733,25,0,0,0,758
apache_incubator-calcite.sql,1085,24,31,3,0,1143
apache_jackrabbit-oak.sql,109,4,0,0,1,114
apache_metamodel.sql,38,10,10,0,2,60
apache_ode.sql,62,34,2,4,71,173
apache_sling.sql,32,0,0,0,0,32
apache_syncope.sql,191,163,4,5,199,562
apache_tajo.sql,404,249,1,0,33,687
apel_apel.sql,18,27,0,0,0,45
Appendium_flatpack.sql,1,0,0,0,0,1
appsignal_appsignal.sql,2,0,0,0,0,2
AppStateESS_phpwebsite.sql,16,80,1,0,14,111
arangodb_arangodb.sql,3,3,7,0,0,13
Arcavias_arcavias-core.sql,11,1,0,1,0,13
arcturusannamalai_Ezhil-Lang.sql,0,1,0,0,0,1
ari_jobsworth.sql,1,0,0,0,0,1
arista-eosplus_ztpserver.sql,2,3,0,0,0,5
arnovr_ocUsageCharts.sql,5,22,0,0,0,27
arresteddevops_ado_infra.sql,2,11,0,0,0,13
arsduo_koala.sql,11,0,0,0,0,11
arskom_spyne.sql,3,0,0,0,0,3
artem-zinnatullin_android-wail-app.sql,1,0,0,0,0,1
articlemetrics_lagotto.sql,16,0,0,0,1,17
ArtificerRepo_artificer.sql,8,96,0,0,7,111
asascience-open_ooi-ui-services.sql,5,0,4366,0,0,4371
ASPP_pelita.sql,1,2,0,0,0,3
assem-ch_alfanous.sql,10,5,0,0,0,15
Atlantic18_DoctrineExtensions.sql,21,0,0,1,0,22
Atriedes_mabes.sql,26,4,0,2,0,32
auraphp_Aura.Auth.sql,0,1,0,0,0,1
auraphp_Aura.Sql.sql,28,1,0,1,0,30
auraphp_Aura.SqlMapper_Bundle.sql,0,1,0,0,0,1
auraphp_Aura.SqlQuery.sql,3,1,0,0,0,4
auraphp_Aura.SqlSchema.sql,1,3,0,0,0,4
Automattic_Co-Authors-Plus.sql,10,0,0,0,0,10
Automattic_Edit-Flow.sql,3,0,0,0,0,3
Automattic_Jetpack.sql,37,0,0,0,0,37
autoschool_twister.sql,0,3,0,0,0,3
autotest_autotest-client-tests.sql,470,379,177,29,16,1071
autotest_autotest.sql,8,111,0,4,5,128
autotest_virt-test.sql,1,0,0,0,0,1
avalax_FitBuddy.sql,0,5,0,0,0,5
avelino_mining.sql,4,3,0,0,0,7
AveryRegier_club-tracker.sql,0,50,0,0,0,50
avsoftechnologies_densealife.sql,11,21,0,6,0,38
awesomefoundation_awesomebits.sql,1,0,0,1,0,2
az0_bleachbit.sql,2,25,0,0,0,27
azkaban_azkaban.sql,39,17,0,13,20,89
Azure_azure-sdk-for-python.sql,2,4,0,0,0,6
B3Partners_brmo.sql,152,509,212,2677,230,3780
balabit_syslog-ng.sql,2,1,0,0,0,3
balanced_status.balancedpayments.com.sql,2,0,0,0,0,2
balloob_home-assistant.sql,7,0,0,0,0,7
baloctran_school_management.sql,23,28,0,3,6,60
Bartlby_bartlby-core.sql,7,5,0,11,0,23
bartvm_blocks.sql,6,0,0,0,0,6
basecamp_marginalia.sql,3,0,0,1,0,4
baserproject_basercms.sql,22,33,0,3,6,64
basho-labs_riak-dotnet-client.sql,5,1,0,0,0,6
basho_leveldb.sql,2,1,0,0,0,3
basho_riak-java-client.sql,10,1,0,0,0,11
basho_riak-php-client.sql,4,1,0,0,0,5
Bauble_bauble.api.sql,5,0,0,0,0,5
bav-php_bav.sql,8,2,0,0,1,11
baztian_jaydebeapi.sql,5,0,1,0,0,6
bbatsov_rubocop.sql,1,0,0,0,0,1
Bcfg2_bcfg2.sql,1,1,3,0,2,7
bcit-ci_CodeIgniter.sql,28,10,0,1,1,40
bcj_AttrDict.sql,1,0,0,0,0,1
BCRM_www.sql,6,0,0,0,0,6
beangle_library.sql,13,0,0,0,0,13
beberlei_DoctrineExtensions.sql,19,0,0,0,0,19
bedrin_jdbc-sniffer.sql,5,1,1,0,0,7
beeznest_chamilo-lms-icpna.sql,1398,624,12,23,4,2061
befdata_befdata.sql,8,0,0,0,0,8
belgattitude_solublecomponents.sql,1,0,0,0,0,1
benadida_helios-server.sql,1,0,0,0,0,1
benbalter_wordpress-to-jekyll-exporter.sql,18,0,0,0,0,18
benbalter_WP-Document-Revisions.sql,3,0,0,0,0,3
benkeen_generatedata.sql,6,14,0,0,0,20
benoitc_gaffer.sql,8,2,2,3,0,15
benstadin_spatialite4-jdbc.sql,56,125,70,28,10,289
bernardphp_bernard.sql,3,0,0,0,0,3
BertrandBordage_django-cachalot.sql,1,1,0,0,0,2
bethesque_pact_broker.sql,0,10,0,0,0,10
betterlife_erp.sql,32,0,0,0,0,32
bibi21000_python-openzwave.sql,2,1,0,0,0,3
BigBrotherBot_big-brother-bot.sql,31,98,3,11,0,143
bikeindex_bike_index.sql,0,45,0,0,40,85
bingmann_sqlplot-tools.sql,3,0,0,0,0,3
binux_pyspider.sql,2,7,0,0,0,9
biojava_biojava-legacy.sql,12,34,0,11,24,81
biola_banner-syncinator.sql,14,0,0,0,0,14
biola_carrierwave-roz.sql,0,1,0,0,0,1
biola_punching_bag.sql,0,1,0,0,0,1
biolab_orange3.sql,6,1,1,0,0,8
bitcoinj_bitcoinj.sql,15,0,0,3,15,33
bitcoinxt_bitcoinxt.sql,2,1,0,0,0,3
BjoernKW_ZenQuery.sql,11,17,0,2,0,30
bjyoungblood_BjyAuthorize.sql,0,2,0,0,0,2
bkiers_python3-parser.sql,40,36,0,1,0,77
bkimminich_AgileSoftwareDevelopmentInPractice.sql,7,0,0,5,0,12
blandware_android-atleap.sql,1,0,0,0,0,1
blizzlikegroup_blizzlikecore.sql,279,185,103,117,0,684
blp_ovs-reviews.sql,1,0,0,0,0,1
blue-yonder_sqlalchemy_exasol.sql,9,1,0,0,0,10
blueboy_portal.sql,378,439,609,1383,2,2811
blueboy_portalclassic.sql,329,393,366,679,2,1769
blueboy_portaltbc.sql,343,410,424,1019,2,2198
BlueBrain_bluima.sql,8,6,2,0,9,25
Bluejudy_pycoin.sql,6,4,0,2,0,12
bluerogue251_materialized_views.sql,1,0,0,0,0,1
bluzphp_framework.sql,22,2,0,1,0,25
bmihelac_django-import-export.sql,0,2,0,0,0,2
bndtools_bnd.sql,0,1,0,0,0,1
board3_Board3-Portal.sql,3,0,0,0,0,3
BOINC_boinc.sql,198,62,3,35,3,301
boosterconf_booster.sql,1,0,0,0,0,1
botherder_viper.sql,2,0,3,0,0,5
boto_boto.sql,4,0,0,0,0,4
bottlepy_bottle.sql,2,1,0,0,0,3
boxen_puppet-mysql.sql,2,0,0,0,0,2
bpiwowar_experimaestro.sql,22,12,0,15,3,52
bpiwowar_papercite.sql,6,2,0,0,0,8
brad-accuvant_cuckoo-modified.sql,8,0,0,0,0,8
Bramas_texiteasy.sql,2,1,0,0,0,3
BrandwatchLtd_pgq-consumer.sql,2,0,0,0,0,2
brettwooldridge_HikariCP.sql,3,0,0,0,0,3
brettwooldridge_SansOrm.sql,5,4,0,0,0,9
breunigs_keks.sql,1,0,0,0,0,1
brewlabs_sendpress.sql,69,13,0,0,0,82
brewster_cequel.sql,26,0,0,0,0,26
brianmario_mysql2.sql,16,9,1,1,0,27
broadinstitute_viral-ngs.sql,1,1,0,0,1,3
browsermedia_browsercms.sql,1,0,0,2,0,3
bryanstearns_fest.sql,0,0,0,0,1,1
bshaffer_oauth2-server-php.sql,12,9,0,0,0,21
bu-ist_bu-navigation.sql,5,0,0,0,0,5
bu-ist_bu-versions.sql,2,0,0,0,0,2
buddycloud_buddycloud-media-server.sql,11,4,0,3,1,19
buddycloud_buddycloud-server-java.sql,5,2,0,0,4,11
bugsnag_bugsnag-dotnet.sql,1,0,0,0,0,1
bugsnag_bugsnag-python.sql,0,1,0,0,0,1
buildbot_buildbot.sql,7,5,2,0,0,14
bunbun_ruffus.sql,1,1,0,0,0,2
bundlewrap_bundlewrap.sql,1,0,0,0,0,1
bungeshea_code-snippets.sql,8,1,0,0,0,9
burtlo_ark.sql,1,0,0,0,0,1
bushbaby_BsbDoctrineTranslationLoader.sql,0,2,0,0,0,2
byjg_xmlnuke.sql,6,4,0,0,0,10
c2is_Bigfoot.sql,0,5,0,0,0,5
c9s_LazyRecord.sql,21,15,0,2,0,38
cachethq_Cachet.sql,1,0,0,0,0,1
CaDs_tokyo-project.sql,1,0,0,0,0,1
caelum_mamute.sql,21,30,1,8,0,60
caelum_vraptor4.sql,6,0,0,0,0,6
cakephp_acl.sql,0,3,0,0,5,8
cakephp_cakepackages.sql,20,29,0,3,6,58
cakephp_cakephp.sql,30,15,0,3,0,48
cakephp_debug_kit.sql,1,0,0,0,0,1
calrissian_accumulo-recipes.sql,18,0,0,0,0,18
camdram_camdram.sql,1,51,0,0,13,65
CamelCookbook_camel-cookbook-examples.sql,2,3,0,0,0,5
CampFireManager_cfm2.sql,32,5,0,2,0,39
camptocamp_c2cgeoportal.sql,2,2,0,0,1,5
camsys_transam_core.sql,1,0,0,0,0,1
Canadensys_canadensys-data-access.sql,8,29,1,2,0,40
Canadensys_canadensys-explorer.sql,1,0,0,2,0,3
Cangjians_libcangjie.sql,1,0,1,0,1,3
cantino_huginn.sql,2,0,0,0,0,2
cargomedia_CM.sql,9,75,0,0,0,84
cartalyst_sentry.sql,0,4,0,0,0,4
Casecommons_datafix.sql,1,1,0,0,0,2
Casecommons_pg_audit_log.sql,1,2,0,0,0,3
Casecommons_pg_search.sql,1,0,0,0,0,1
cashmusic_platform.sql,22,84,0,0,13,119
caskdata_coopr.sql,62,47,4,29,4,146
cassiomarques_enumerate_it.sql,1,0,0,0,0,1
catherinedevlin_data-dispenser.sql,0,1,0,0,0,1
catherinedevlin_ddl-generator.sql,2,13,0,0,0,15
cchacin_cucumber-common-steps.sql,1,0,0,0,0,1
cchantep_acolyte.sql,10,0,0,0,0,10
cd34_apex.sql,1,0,0,0,0,1
cdli_CdliTwoStageSignup.sql,3,2,0,0,0,5
cea-sec_ivre.sql,1,0,0,0,0,1
celeron55_minetest.sql,0,2,0,0,0,2
cellcounter_cellcounter.sql,1,0,0,0,0,1
celluloid_celluloid.sql,1,0,0,0,0,1
CenterForOpenScience_archival-project.sql,19,21,0,3,1,44
ceph_teuthology.sql,0,1,0,0,0,1
cequel_cequel.sql,2,3,0,0,1,6
cercomp_weby.sql,1,0,0,2,0,3
cesanta_fossa.sql,49,38,2,0,8,97
CESNET_torque.sql,0,0,0,0,0,0
cetem_print_hub.sql,0,0,0,0,5,5
cetic_6lbr.sql,1,0,0,0,0,1
cfparser_cfparser.sql,2,0,0,1,0,3
chamilo_chamilo-lms.sql,440,140,11,83,210,884
chanks_que.sql,4,1,0,0,0,5
chapel-lang_chapel.sql,2,2,3,0,2,9
chaupal_jxse.sql,4,0,2,1,1,8
chef-cookbooks_mysql.sql,3,1,0,0,0,4
chef_mixlib-shellout.sql,1,0,0,0,0,1
chef_ohai.sql,1,0,0,0,0,1
chef_opscode-omnibus.sql,2,0,0,0,0,2
chef_supermarket.sql,4,0,0,1,0,5
cherrylabs_arx-core.sql,2,0,0,0,0,2
chewing_libchewing.sql,53,37,2,1,8,101
chloerei_campo.sql,0,9,0,0,12,21
chmouel_python-nonobot.sql,0,2,1,0,0,3
chobie_treasuredata-api-client.sql,1,0,0,0,0,1
chop-dbhi_dicom-anon.sql,0,1,0,0,0,1
chrisglass_django_polymorphic.sql,1,0,0,0,0,1
chrishunt_desktop.sql,2,1,1,0,0,4
chrismccord_sync.sql,0,4,0,0,0,4
chriso_gauged.sql,0,16,2,3,0,21
chrisvest_stormpot.sql,1,0,0,0,0,1
chrisvfritz_codekwondo.sql,3,12,2,6,3,26
ci-bonfire_Sprint.sql,16,16,0,2,0,34
CICS-530_pollutantAPI.sql,20,36,1,3,6,66
Cimpress-MCP_TimberWinR.sql,4,0,0,0,0,4
cinovo_cloudconductor-server.sql,4,0,0,0,0,4
circuits_circuits.sql,1,1,0,1,0,3
CIRDLES_Topsoil.sql,0,3,0,0,0,3
ciudadanointeligente_legislative.sql,2,0,0,0,0,2
clbustos_statsample.sql,1,1,0,0,0,2
cli_sonews.sql,19,9,0,0,0,28
Clinical-Genomics_taboo.sql,0,1,0,0,0,1
ClothesHorse_Destrier.sql,17,11,59,1,0,88
ClothesHorse_NSQnet.sql,0,1,0,0,0,1
cloudfoundry-incubator_bookbinder.sql,0,2,0,0,0,2
cloudfoundry_bosh.sql,2,0,0,0,0,2
cloudfoundry_cf-mysql-broker.sql,8,4,1,1,0,14
cloudfoundry_cloud_controller_ng.sql,1,0,0,3,0,4
cloudfoundry_java-test-applications.sql,1,0,0,0,0,1
cloudfoundry_uaa.sql,110,45,3,25,15,198
cloudify-cosmo_cloudify-manager-blueprints.sql,2,0,0,0,0,2
cloudify-cosmo_cloudify-manager.sql,1,0,0,0,0,1
cloudmesh_cloudmesh.sql,1,1,0,0,0,2
clue_php-zenity-react.sql,1,0,0,0,0,1
clusterlib_clusterlib.sql,2,1,0,0,0,3
cmangos_mangos-classic.sql,319,392,366,673,2,1752
cmangos_mangos-tbc.sql,340,408,427,1013,2,2190
cmangos_mangos-wotlk.sql,363,434,611,1377,2,2787
CoandaCMS_coanda-core.sql,1,0,0,0,0,1
cocoonprojects_ora.sql,0,1,0,0,0,1
cocos2d_cocos2d-x.sql,4,2,0,0,0,6
cocur_nqm.sql,8,1,0,0,0,9
code-mancers_rbkit-client.sql,1,0,0,0,2,3
Code4Maine_beehve.sql,0,0,0,1,0,1
codebykat_wp-post-by-email.sql,3,0,0,0,0,3
codecentric_spring-boot-starter-batch-web.sql,1,1,0,0,0,2
Codeception_Codeception.sql,13,12,0,0,0,25
codeforamerica_citygram.sql,0,5,0,0,4,9
codeforamerica_denver-schedules-api.sql,1,2,0,0,0,3
codeine-cd_codeine.sql,3,0,2,12,2,19
Codepoints_Codepoints.net.sql,12,5,0,0,0,17
codetriage_codetriage.sql,0,8,0,0,5,13
codevise_pageflow.sql,5,0,0,0,0,5
coffeestats_coffeestats-django.sql,2,2,0,3,0,7
collectiveaccess_providence.sql,113,212,0,11,865,1201
collectiveidea_delayed_job_active_record.sql,1,0,0,0,0,1
colosa_processmaker.sql,154,232,62,13,3,464
Comcast_cmb.sql,0,11,0,0,4,15
companygardener_lookup_by.sql,0,20,0,0,6,26
CompendiumNG_CompendiumNG.sql,54,0,0,12,0,66
concrete5_concrete5-5.7.0.sql,575,2,0,235,0,812
concrete5_concrete5.sql,575,2,0,235,0,812
Connexions_cnx-archive.sql,43,15,8555,5,37,8655
Connexions_cnx-authoring.sql,1,3,0,0,0,4
Connexions_cnx-publishing.sql,18,0,0,10,0,28
ConOnRails_ConOnRails.sql,69,27,15,1,2,114
ConPaaS-team_conpaas.sql,6,65,0,4,0,75
contao-community-alliance_dc-general.sql,1,0,0,2,0,3
contao_core-bundle.sql,130,2,0,35,0,167
contiki-os_contiki.sql,1,0,0,0,0,1
controlshift_prague-server.sql,5,0,0,0,0,5
coopdevs_timeoverflow.sql,0,11,0,0,11,22
cooperaj_wow-armory-character.sql,1,1,0,0,0,2
corley_influxdb-php-sdk.sql,5,0,0,0,0,5
cornernote_yii-account-module.sql,1,2,0,0,0,3
CoronaCore_OneServer.sql,329,398,199,356,2,1284
couchbase_libcouchbase.sql,7,0,0,0,2,9
couchbaselabs_php-couchbase.sql,4,0,0,0,0,4
CounterpartyXCP_counterpartyd.sql,2,53,2657,291,38,3041
Coursemology_coursemology.org.sql,3,0,0,1,0,4
coursera_dataduct.sql,14,21,0,0,0,35
cowboy-coders_CyclismoProject.sql,2,1,0,0,0,3
cpvrlab_SLProject.sql,2,0,0,0,0,2
Crate_activerecord-crate-adapter.sql,0,1,0,0,0,1
Crate_crash.sql,7,3,0,0,0,10
Crate_crate-dbal.sql,27,7,0,0,0,34
Crate_crate-jdbc.sql,36,8,0,1,0,45
Crate_crate-pdo.sql,13,0,0,4,0,17
Crate_crate-python.sql,12,2,0,2,0,16
Crate_crate.sql,1129,562,34,68,0,1793
Crate_crate_ruby.sql,6,2,0,0,0,8
crazedsanity_cs-webapplibs.sql,17,20,2,0,0,39
creocoder_yii2-nested-sets.sql,0,2,0,0,0,2
croaky_parity.sql,1,0,0,0,0,1
CroissanceCommune_autonomie.sql,16,1,0,7,0,24
CSBill_CSBill.sql,3,37,0,2,17,59
csc_Hanlon.sql,3,1,0,0,0,4
CsharpDatabase_CsharpSQLite.sql,63,67,662,2,8,802
csound_csound.sql,0,1,0,0,0,1
ctjacobs_pyqso.sql,7,0,1,0,0,8
CTMM-TraIT_trait_odm_to_i2b2.sql,1,2,0,0,1,4
ctran_annotate_models.sql,0,2,0,0,0,2
ctranoris_forgestore.sql,25,0,0,0,0,25
ctsit_redi.sql,8,52,1,2,0,63
cubesystems_releaf.sql,2,0,0,0,0,2
culturegraph_metafacture-sql.sql,4,1,0,0,0,5
cundd_rest.sql,1,4,0,1,0,6
cuny-academic-commons_dirt-directory-client.sql,1,0,0,0,0,1
cvengros_salesforce_bulk_query.sql,6,0,0,0,0,6
cvgellhorn_OneDB.sql,4,1,0,0,0,5
cybyd_cybyd.sql,147,60,42,4,0,253
cylc_cylc.sql,15,18,0,0,0,33
cyrilperrin_WebProjectHelper.sql,1,20,0,0,0,21
czogori_Rentgen.sql,3,3,0,0,0,6
daisy_pipeline-framework.sql,6,0,0,0,0,6
daisy_pipeline-webui.sql,0,1,0,0,0,1
dajobe_librdf.sql,11,19,0,0,2,32
dajobe_rasqal.sql,6,0,0,0,0,6
daler_pybedtools.sql,0,1,0,0,0,1
damnhandy_Handy-URI-Templates.sql,1,0,0,0,0,1
DamnWidget_mamba.sql,0,8,0,0,3,11
danhooper_mindwell.sql,65,26,2,8,1,102
danielballan_mr.sql,3,1,0,0,0,4
danielweinmann_unlock.sql,4,0,0,7,0,11
danmar_cppcheck.sql,1,0,0,0,0,1
daolcms_daol-core.sql,5,6,0,0,0,11
data-axle_superstore.sql,1,0,0,0,0,1
DatabaseCleaner_database_cleaner.sql,8,0,0,0,0,8
datacenter_acitoolkit.sql,44,2,2,1,0,49
datacleaner_AnalyzerBeans.sql,8,0,10,0,0,18
datacleaner_DataCleaner.sql,6,0,10,2,0,18
datalad_datalad.sql,1,0,0,0,0,1
datamapper_dm-core.sql,1,0,0,0,0,1
datamapper_do.sql,64,13,0,4,0,81
datastax_cpp-driver.sql,79,72,0,2,4,157
datastax_java-driver.sql,233,108,0,33,18,392
datastax_python-driver.sql,92,86,0,2,14,194
datastax_ruby-driver.sql,70,111,0,17,10,208
DataTorrent_Malhar.sql,47,28,0,1,0,76
Daveawb_Laravel-Datatables.sql,0,2,0,0,0,2
davedevelopment_phpmig.sql,5,8,0,0,0,13
davidcelis_recommendable.sql,0,2,0,0,0,2
davidgfnet_whatsapp-purple.sql,11,4,1,0,0,16
davidkalosi_GovernorFramework.sql,5,0,0,0,0,5
davidmoreno_onion.sql,1,1,0,0,0,2
davidmoten_geo.sql,2,1,0,0,1,4
davidmoten_rxjava-jdbc.sql,56,13,0,16,0,85
davidszotten_pytest-cagoule.sql,0,3,0,0,2,5
davidyell_Cricketeer.sql,0,18,0,0,0,18
DBD-SQLite_DBD-SQLite.sql,195,151,83,9,11,449
dbfit_dbfit.sql,8,24,2,0,0,34
DbKeeperNet_DbKeeperNet.sql,19,41,0,0,0,60
dblock_oshi.sql,1,0,0,0,0,1
ddeboer_data-import.sql,5,3,0,0,0,8
ddliu_tinydb.sql,2,1,0,0,0,3
deanishe_alfred-workflow.sql,0,2,0,0,0,2
debrief_debrief.sql,13,11,3,0,2,29
dedicated-panel_dedipanel.sql,0,22,0,0,2,24
deegree_deegree3.sql,38,46,1,1,166,252
deeplearning4j_deeplearning4j.sql,13,0,0,0,0,13
dekellum_syncwrap.sql,1,0,0,0,0,1
denisenkom_pytds.sql,1,11,3,0,0,15
denverfoundation_storybase.sql,0,0,0,1,0,1
denyago_remote_association.sql,1,0,0,0,0,1
deric_clueminer.sql,12,0,0,0,0,12
Derky_Sortables-CAPTCHA-Plugin.sql,3,0,0,0,0,3
derptest_phpmachinist.sql,3,12,0,0,0,15
desbma_sacad.sql,0,1,0,0,0,1
deschler_django-modeltranslation.sql,0,1,0,0,0,1
Desura_desura-app.sql,130,47,56,7,7,247
Desura_Desurium.sql,127,47,10,7,7,198
developerforce_Force.com-Toolkit-for-NET.sql,11,0,0,0,0,11
DevelopFreedom_logmein-android.sql,0,1,0,0,0,1
DevFactoryCH_taxonomy.sql,3,0,0,0,0,3
devhub-tud_DevHub.sql,13,0,0,0,0,13
DevInSantos_DevInSantos-events.sql,0,4,0,0,3,7
devisephp_cms.sql,0,16,0,0,0,16
dfci-cccb_mev.sql,7,1,4,0,0,12
dg_dibi.sql,42,18,0,0,1,61
dhoer_chef-nssm.sql,1,0,0,0,0,1
dhrod5_link.sql,2,0,0,0,0,2
DHUers_rigidoj.sql,0,1,0,0,0,1
dianping_cat.sql,4,29,0,0,0,33
diaspora_diaspora.sql,1,0,0,0,0,1
dice-cyfronet_atmosphere.sql,1,0,0,0,0,1
diegovalle_hoyodecrimen.api.sql,5,4,0,1,15,25
dieseldev_diesel.sql,3,0,1,0,0,4
digital-preservation_droid.sql,10,0,0,1,15,26
digitalfondue_lavagna.sql,1133,74,257,40,10,1514
digitalfox_pydici.sql,4,0,0,0,0,4
digitronac_robinson.sql,1,11,0,0,0,12
dinks_bucket_maker.sql,0,1,0,0,0,1
DIYBookScanner_spreads.sql,4,4,0,0,0,8
django-json-api_rest_framework_ember.sql,0,1,0,0,0,1
dlanileonardo_correios.sql,6,0,0,0,0,6
dlanileonardo_pagseguro.sql,2,1,0,0,0,3
dmasur_RuhrTopCardLocator.sql,0,2,0,0,0,2
DMS-Aus_Roam.sql,0,1,0,0,0,1
dnadesign_silverstripe-populate.sql,1,0,0,0,0,1
doanduyhai_Achilles.sql,51,56,0,1,0,108
dobtco_filterer.sql,0,1,0,0,0,1
docker-library_official-images.sql,0,4,4,0,0,8
Doist_bitmapist.sql,0,1,0,0,0,1
Dolibarr_dolibarr.sql,243,837,3,132,0,1215
dolittle_Bifrost.sql,2,1,0,0,0,3
domogik_domogik.sql,0,0,0,1,0,1
donnapep_wordpress-book-review-plugin.sql,5,0,0,0,0,5
Door43_translationDatabaseWeb.sql,1,0,0,0,0,1
DoSomething_scholarship-application-app.sql,0,0,0,0,1,1
DotNetOpenAuth_DotNetOpenAuth.sql,1,0,0,0,0,1
douban_dpark.sql,0,2,0,0,0,2
douban_linguist.sql,4,0,0,0,0,4
doximity_es-elasticity.sql,1,0,0,0,0,1
